first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.06350653908579637
lifetime,43.0
Q_ind,0.0
CAPEX_TES_HEN,1976.3071343614922
P_coldpump,215.57627218973101
TES_LCOE_Charge,0.06200082732736406
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,2237.59589456843
