first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,1.5094627654138925e6
subsidy,0.0
TES_LCOE_Capex,65.77569041500385
lifetime,25.0
Q_ind,300.0
CAPEX_TES_HEN,10753.906560554444
P_coldpump,215.57627218973101
TES_LCOE_Charge,200.2599449708204
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,11.144313157294956
