first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,1.3656195586200845e6
subsidy,0.0
TES_LCOE_Capex,116.19440012289202
lifetime,25.0
Q_ind,249.99999999999997
CAPEX_TES_HEN,10843.49026639553
P_coldpump,215.57627218973101
TES_LCOE_Charge,199.05963221776219
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,9.286927631079061
