first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,324553.78681613196
subsidy,0.0
TES_LCOE_Capex,3209.426753525411
lifetime,25.0
Q_ind,49.99999999999999
CAPEX_TES_HEN,390.63075772432273
P_coldpump,215.57627218973101
TES_LCOE_Charge,1622.7207297541759
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,0.579202611874611
