first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,669769.6329487063
subsidy,0.0
TES_LCOE_Capex,147.49328671087036
lifetime,25.0
Q_ind,99.99999999999999
CAPEX_TES_HEN,10883.379744888618
P_coldpump,215.57627218973101
TES_LCOE_Charge,187.60026014480937
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,3.7147710524316238
