first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,1.6369174285193882e6
subsidy,0.0
TES_LCOE_Capex,447.4466578555345
lifetime,25.0
Q_ind,350.0
CAPEX_TES_HEN,10841.791767786417
P_coldpump,215.57627218973101
TES_LCOE_Charge,1679.4177466586216
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,4.420577552393634
