first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,1.3111940222470823e6
subsidy,0.0
TES_LCOE_Capex,0.7652755549760559
lifetime,25.0
Q_ind,300.0
CAPEX_TES_HEN,1697.4014836100012
P_coldpump,215.57627218973101
TES_LCOE_Charge,0.6991433202101952
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,6946.407233364936
