first,second
Q_TES_heater_peak,474.7952025414198
q_turbind_dispatch,291038.3942881295
subsidy,0.0
TES_LCOE_Capex,52.12649145170352
lifetime,25.0
Q_ind,49.99999999999999
CAPEX_TES_HEN,417.38832298689135
P_coldpump,215.57627218973101
TES_LCOE_Charge,120.17330770908433
flowSalt_charge_peak,1.0987577583574466
TES_fom_yr,6946.407233364936
