first,second
Q_TES_heater_peak,237.39760127071
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.07229080939554149
lifetime,43.0
Q_ind,0.0
CAPEX_TES_HEN,2651.129816129557
P_coldpump,107.78813609486551
TES_LCOE_Charge,0.0657022801631128
flowSalt_charge_peak,0.5493788791787235
TES_fom_yr,3473.203616682468
