first,second
Q_TES_heater_peak,237.3976012707099
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.08342633344959184
lifetime,43.0
Q_ind,0.0
CAPEX_TES_HEN,2896.5328291205765
P_coldpump,107.78813609486551
TES_LCOE_Charge,0.061475016932163944
flowSalt_charge_peak,0.5493788791787233
TES_fom_yr,3473.203616682468
