first,second
Q_TES_heater_peak,474.84870589693656
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.09704056998422649
lifetime,25.0
Q_ind,0.0
CAPEX_TES_HEN,1898.7765309384636
P_coldpump,159.25695059312642
TES_LCOE_Charge,0.07034419571093249
flowSalt_charge_peak,0.811707189567413
TES_fom_yr,3832.925848983248
