first,second
Q_TES_heater_peak,474.84870589693656
q_turbind_dispatch,0.0
subsidy,0.0
TES_LCOE_Capex,0.11963786020269834
lifetime,25.0
Q_ind,0.0
CAPEX_TES_HEN,4394.6737836728225
P_coldpump,159.25695059312642
TES_LCOE_Charge,0.07949369184550248
flowSalt_charge_peak,0.811707189567413
TES_fom_yr,6946.407233364936
