,700MW,600MW,660MW,500MW,250MW,210MW,195_200MW,140MW,120_125MW,100_110MW,500MW_0,500MW_1,500MW_2,500MW_3,500MW_4,250MW_0,250MW_1,250MW_2,250MW_3,250MW_4,210MW_0,210MW_1,210MW_2,210MW_3,210MW_4,210MW_5,210MW_6,210MW_7,210MW_8,210MW_9,210MW_10,210MW_11,210MW_12,210MW_13,210MW_14,210MW_15,210MW_16,210MW_17,210MW_18,210MW_19,210MW_20,210MW_21,210MW_22,210MW_23,210MW_24,210MW_25,210MW_26,210MW_27,210MW_28,210MW_29,210MW_30,210MW_31,210MW_32,210MW_33,210MW_34,210MW_35,210MW_36,210MW_37,210MW_38,210MW_39,210MW_40,210MW_41,210MW_42,210MW_43,210MW_44,210MW_45,210MW_46,210MW_47,210MW_48,195_200MW_0,195_200MW_1,195_200MW_2,195_200MW_3,195_200MW_4,140MW_0,140MW_1,140MW_2,140MW_3,120_125MW_0,120_125MW_1,120_125MW_2,120_125MW_3,120_125MW_4,120_125MW_5,120_125MW_6,120_125MW_7,120_125MW_8,100_110MW_0,100_110MW_1,100_110MW_2,100_110MW_3,100_110MW_4,100_110MW_5,100_110MW_6,100_110MW_7
HP_output_P_MS,6050000.0,4162500.0,4162500.0,4199682.27,3692190.01,3486251.13,3326893.66,3255795.71,3184697.76,3106244.85,4167810.77,4265876.91,4167810.77,4143294.24,4248715.33,3677480.09,3677480.09,3726513.16,3603930.49,3777997.88,3603930.49,3603930.49,3187149.41,3677480.09,3677480.09,3603930.49,3677480.09,3162632.88,3358765.15,3677480.09,3677480.09,3309732.08,3162632.88,3162632.88,3603930.49,3677480.09,3603930.49,3579413.96,3015533.68,3113599.81,3677480.09,3677480.09,3187149.41,3187149.41,3187149.41,3358765.15,3677480.09,3187149.41,3677480.09,3677480.09,3677480.09,3677480.09,3677480.09,3603930.49,3603930.49,3603930.49,3606382.14,3334248.62,3334248.62,3603930.49,3606382.14,3187149.41,3677480.09,3677480.09,3677480.09,3677480.09,3677480.09,3125858.08,3187149.41,3606382.14,3260699.02,3113599.81,3317087.04,3334248.62,3187149.41,3187149.41,3187149.41,3456831.29,3196956.03,3187149.41,3157729.57,3187149.41,3113599.81,3128309.73,3260699.02,3187149.41,3236182.48,2206488.06,3196956.03,3187149.41,3162632.88,3407798.22,3371023.42,3138116.35,3187149.41
IP_input_T_MS,833.15,833.15,833.15,810.75,810.75,810.45,811.15,812.15,810.55,810.65,810.15,811.15,810.15,811.15,811.15,810.15,810.15,810.15,810.15,813.15,813.15,810.15,813.15,812.15,813.15,808.15,813.15,808.15,813.15,813.15,813.15,813.15,813.15,813.15,808.15,813.15,813.15,813.15,808.15,808.15,813.15,808.15,808.15,808.15,808.15,808.15,808.15,813.15,808.15,808.15,808.15,808.15,808.15,808.15,808.15,808.15,808.15,813.15,813.15,812.15,808.15,808.15,808.15,813.15,813.15,813.15,810.15,808.15,808.15,813.15,808.15,808.15,813.15,813.15,811.15,813.15,808.15,816.15,813.15,808.15,810.15,808.15,810.15,810.95,813.15,808.15,813.15,808.15,808.15,808.15,813.15,813.15,813.15,808.15,813.15
IP_input_P_MS,5550000.0,3662500.0,3662500.0,3699682.27,3192190.01,2986251.13,2826893.66,2755795.71,2684697.76,2606244.85,3667810.77,3765876.91,3667810.77,3643294.24,3748715.33,3177480.09,3177480.09,3226513.16,3103930.49,3277997.88,3103930.49,3103930.49,2687149.41,3177480.09,3177480.09,3103930.49,3177480.09,2662632.88,2858765.15,3177480.09,3177480.09,2809732.08,2662632.88,2662632.88,3103930.49,3177480.09,3103930.49,3079413.96,2515533.68,2613599.81,3177480.09,3177480.09,2687149.41,2687149.41,2687149.41,2858765.15,3177480.09,2687149.41,3177480.09,3177480.09,3177480.09,3177480.09,3177480.09,3103930.49,3103930.49,3103930.49,3106382.14,2834248.62,2834248.62,3103930.49,3106382.14,2687149.41,3177480.09,3177480.09,3177480.09,3177480.09,3177480.09,2625858.08,2687149.41,3106382.14,2760699.02,2613599.81,2817087.04,2834248.62,2687149.41,2687149.41,2687149.41,2956831.29,2696956.03,2687149.41,2657729.57,2687149.41,2613599.81,2628309.73,2760699.02,2687149.41,2736182.48,1706488.06,2696956.03,2687149.41,2662632.88,2907798.22,2871023.42,2638116.35,2687149.41
LP_input_T_MS,599.602695,602.81808,602.81808,584.893574,585.811006,585.945831,586.789695,587.710989,586.571878,586.793418,584.473336,585.092772,584.473336,585.313914,585.123725,585.361095,585.361095,585.272238,585.494416,587.563204,587.876445,585.494416,588.627391,586.949654,587.744061,583.906825,587.744061,584.711276,588.318022,587.744061,587.744061,588.406391,588.671604,588.671604,583.906825,587.744061,587.876445,587.920582,584.979747,584.800751,587.744061,583.772874,584.666545,584.666545,584.666545,584.353608,583.772874,588.627391,583.772874,583.772874,583.772874,583.772874,583.772874,583.906825,583.906825,583.906825,583.90236,588.362204,588.362204,587.08235,583.90236,584.666545,583.772874,587.744061,587.744061,587.744061,585.361095,584.778381,584.666545,587.872031,584.532375,584.800751,588.393134,588.362206,587.042801,588.627391,584.666545,590.522288,588.609707,584.666545,586.304008,584.666545,586.384162,586.99096,588.494778,584.666545,588.538978,586.45879,584.648654,584.666543,588.671604,588.22967,588.295932,584.756011,588.627391
LP_input_P_MS,1110000.0,732500.0,732500.0,739936.453,638438.003,597250.226,565378.731,551159.142,536939.552,521248.97,733562.154,753175.382,733562.154,728658.848,749743.067,635496.019,635496.019,645302.632,620786.098,655599.576,620786.098,620786.098,537429.883,635496.019,635496.019,620786.098,635496.019,532526.576,571753.03,635496.019,635496.019,561946.417,532526.576,532526.576,620786.098,635496.019,620786.098,615882.791,503106.735,522719.962,635496.019,635496.019,537429.883,537429.883,537429.883,571753.03,635496.019,537429.883,635496.019,635496.019,635496.019,635496.019,635496.019,620786.098,620786.098,620786.098,621276.429,566849.723,566849.723,620786.098,621276.429,537429.883,635496.019,635496.019,635496.019,635496.019,635496.019,525171.616,537429.883,621276.429,552139.803,522719.962,563417.409,566849.723,537429.883,537429.883,537429.883,591366.257,539391.205,537429.883,531545.915,537429.883,522719.962,525661.946,552139.803,537429.883,547236.496,341297.611,539391.205,537429.883,532526.576,581559.644,574204.684,527623.269,537429.883
LP_output_T_MS,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639,308.288639
LP_output_P_MS,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0
LP_vaporfraction_MS,0.882776275,0.906579118,0.906579118,0.897761392,0.906025287,0.909613325,0.912896711,0.914664439,0.915511869,0.917172997,0.898026251,0.896908764,0.898026251,0.898775855,0.897166849,0.906060527,0.906060527,0.905208364,0.907361498,0.905434627,0.908467403,0.907361498,0.916414902,0.906798818,0.907167507,0.906622711,0.907167507,0.915083045,0.913013871,0.907167507,0.907167507,0.913965955,0.916917048,0.916917048,0.906622711,0.907167507,0.908467402,0.908906954,0.91819258,0.916101488,0.907167507,0.905321014,0.914580308,0.914580308,0.914580308,0.911175153,0.905321014,0.916414902,0.905321014,0.905321014,0.905321014,0.905321014,0.905321014,0.906622711,0.906622711,0.906622711,0.906578871,0.913488018,0.913488018,0.90809907,0.906578871,0.914580308,0.905321014,0.907167507,0.907167507,0.907167507,0.906060527,0.915845231,0.914580308,0.908423622,0.9130971,0.916101488,0.913822172,0.913488019,0.915681957,0.916414902,0.914580308,0.912255002,0.916215229,0.914580308,0.915918528,0.914580308,0.916835483,0.916821575,0.914933472,0.914580308,0.915423189,0.939121747,0.914380398,0.914580307,0.916917048,0.912076692,0.912778199,0.915590078,0.916414902
HP_output_T_coal,329.089061,338.125313,338.125313,318.275637,321.203792,322.167135,323.733084,325.027927,324.079798,324.647008,317.928257,318.255771,317.928257,318.94579,318.351877,320.767965,320.767965,320.478658,321.204019,322.79347,323.812769,321.204019,326.307396,322.50972,323.380371,319.464118,323.380371,322.145139,325.271315,323.380371,323.380371,325.566121,326.456367,326.456367,319.464118,323.380371,323.812769,323.957446,323.056472,322.447992,323.380371,319.025593,321.994067,321.994067,321.994067,320.943344,319.025593,326.307396,319.025593,319.025593,319.025593,319.025593,319.025593,319.464118,319.464118,319.464118,319.44946,325.418594,325.418594,322.94333,319.44946,321.994067,319.025593,323.380371,323.380371,323.380371,320.767965,322.372191,321.994067,323.798316,321.542287,322.447992,325.521837,325.418594,324.582388,326.307396,321.994067,327.285038,326.247874,321.994067,323.900022,321.994067,324.171104,324.769992,325.861908,321.994067,326.010165,328.202945,321.933704,321.994067,326.456367,324.977505,325.197769,322.296448,326.307396
HP_output_P_coal,60.5,41.625,41.625,41.9968227,36.9219001,34.8625113,33.2689366,32.5579571,31.8469776,31.0624485,41.6781077,42.6587691,41.6781077,41.4329424,42.4871533,36.7748009,36.7748009,37.2651316,36.0393049,37.7799788,36.0393049,36.0393049,31.8714941,36.7748009,36.7748009,36.0393049,36.7748009,31.6263288,33.5876515,36.7748009,36.7748009,33.0973208,31.6263288,31.6263288,36.0393049,36.7748009,36.0393049,35.7941396,30.1553368,31.1359981,36.7748009,36.7748009,31.8714941,31.8714941,31.8714941,33.5876515,36.7748009,31.8714941,36.7748009,36.7748009,36.7748009,36.7748009,36.7748009,36.0393049,36.0393049,36.0393049,36.0638214,33.3424862,33.3424862,36.0393049,36.0638214,31.8714941,36.7748009,36.7748009,36.7748009,36.7748009,36.7748009,31.2585808,31.8714941,36.0638214,32.6069902,31.1359981,33.1708704,33.3424862,31.8714941,31.8714941,31.8714941,34.5683129,31.9695603,31.8714941,31.5772957,31.8714941,31.1359981,31.2830973,32.6069902,31.8714941,32.3618248,22.0648806,31.9695603,31.8714941,31.6263288,34.0779822,33.7102342,31.3811635,31.8714941
IP_input_T_coal,560.0,560.0,560.0,537.6,537.6,537.3,538.0,539.0,537.4,537.5,537.0,538.0,537.0,538.0,538.0,537.0,537.0,537.0,537.0,540.0,540.0,537.0,540.0,539.0,540.0,535.0,540.0,535.0,540.0,540.0,540.0,540.0,540.0,540.0,535.0,540.0,540.0,540.0,535.0,535.0,540.0,535.0,535.0,535.0,535.0,535.0,535.0,540.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,540.0,540.0,539.0,535.0,535.0,535.0,540.0,540.0,540.0,537.0,535.0,535.0,540.0,535.0,535.0,540.0,540.0,538.0,540.0,535.0,543.0,540.0,535.0,537.0,535.0,537.0,537.8,540.0,535.0,540.0,535.0,535.0,535.0,540.0,540.0,540.0,535.0,540.0
IP_input_P_coal,55.5,36.625,36.625,36.9968227,31.9219001,29.8625113,28.2689366,27.5579571,26.8469776,26.0624485,36.6781077,37.6587691,36.6781077,36.4329424,37.4871533,31.7748009,31.7748009,32.2651316,31.0393049,32.7799788,31.0393049,31.0393049,26.8714941,31.7748009,31.7748009,31.0393049,31.7748009,26.6263288,28.5876515,31.7748009,31.7748009,28.0973208,26.6263288,26.6263288,31.0393049,31.7748009,31.0393049,30.7941396,25.1553368,26.1359981,31.7748009,31.7748009,26.8714941,26.8714941,26.8714941,28.5876515,31.7748009,26.8714941,31.7748009,31.7748009,31.7748009,31.7748009,31.7748009,31.0393049,31.0393049,31.0393049,31.0638214,28.3424862,28.3424862,31.0393049,31.0638214,26.8714941,31.7748009,31.7748009,31.7748009,31.7748009,31.7748009,26.2585808,26.8714941,31.0638214,27.6069902,26.1359981,28.1708704,28.3424862,26.8714941,26.8714941,26.8714941,29.5683129,26.9695603,26.8714941,26.5772957,26.8714941,26.1359981,26.2830973,27.6069902,26.8714941,27.3618248,17.0648806,26.9695603,26.8714941,26.6263288,29.0779822,28.7102342,26.3811635,26.8714941
